Year,Month,Day,Max,Min
1921,1,1,11.7,9.4
1921,1,2,10.4,9
1921,1,3,12.4,8.6
1921,1,4,12.1,10.1
1921,1,5,11.6,5.9
1921,1,6,10.9,8.1
1921,1,7,9.5,3.8
1921,1,8,12.4,5.6
1921,1,9,12.6,6.9
1921,1,10,11.4,11.2
1921,1,11,9.9,6.3
1921,1,12,7.9,5.6
1921,1,13,6.5,3.4
1921,1,14,10.4,0.6
1921,1,15,11.7,1.8
1921,1,16,10.7,9.2
1921,1,17,10.1,7
1921,1,18,10.3,6.4
1921,1,19,10.6,7
1921,1,20,11.3,7.7
1921,1,21,10.8,8.9
1921,1,22,8.9,8.4
1921,1,23,11.4,7.4
1921,1,24,12.1,8.5
1921,1,25,11.8,10.6
1921,1,26,11.1,9.2
1921,1,27,11.8,9.4
1921,1,28,12.1,10.7
1921,1,29,11.9,10.2
1921,1,30,8.9,5.8
1921,1,31,8,2.6
1921,2,1,9.2,1.1
1921,2,2,10,4.1
1921,2,3,11.6,7.7
1921,2,4,11.2,6.9
1921,2,5,8.1,5.4
1921,2,6,9.3,5.7
1921,2,7,8.9,7.6
1921,2,8,8.7,5.4
1921,2,9,9.9,2.6
1921,2,10,9.2,0.7
1921,2,11,7.6,-0.8
1921,2,12,9.1,-1
1921,2,13,9.2,5.8
1921,2,14,10.4,6.4
1921,2,15,10.1,8.1
1921,2,16,10.3,8.9
1921,2,17,10.2,6.5
1921,2,18,10.4,6.4
1921,2,19,9.2,7.1
1921,2,20,7.2,6.9
1921,2,21,9.7,5.2
1921,2,22,10.7,6
1921,2,23,9.7,2.8
1921,2,24,8.9,5.3
1921,2,25,9.3,5.6
1921,2,26,10.3,2.5
1921,2,27,9,2.5
1921,2,28,9.9,5.6
1921,3,1,10.05,7.8
1921,3,2,7.75,4.15
1921,3,3,8.6,6.65
1921,3,4,10.95,9.3
1921,3,5,9.45,7.6
1921,3,6,7.65,5.65
1921,3,7,8.05,-1.8
1921,3,8,9.5,5.6
1921,3,9,10.4,8.95
1921,3,10,10.15,5.85
1921,3,11,8.1,2.75
1921,3,12,10.05,6.2
1921,3,13,9.35,5.6
1921,3,14,7.55,3.9
1921,3,15,11.45,7.45
1921,3,16,10.75,7.45
1921,3,17,9.7,4.5
1921,3,18,7.95,4.3
1921,3,19,9.7,6.9
1921,3,20,10.5,8.55
1921,3,21,11.45,9.65
1921,3,22,11.1,7.2
1921,3,23,10.7,8.55
1921,3,24,10.75,10.15
1921,3,25,10.3,7.6
1921,3,26,8.9,5.2
1921,3,27,8.85,6.7
1921,3,28,10.5,6.8
1921,3,29,8.2,3.5
1921,3,30,9.65,7.15
1921,3,31,10.5,8.7
1921,4,1,10.65,8.4
1921,4,2,10.95,6.6
1921,4,3,10,7.7
1921,4,4,9.6,6.6
1921,4,5,10.75,9.35
1921,4,6,12.35,8.7
1921,4,7,13.8,4.7
1921,4,8,13.9,6.75
1921,4,9,11.8,3.85
1921,4,10,10.35,6.6
1921,4,11,13.85,8.2
1921,4,12,16.7,7.95
1921,4,13,12.65,5.45
1921,4,14,9.65,5.3
1921,4,15,7.6,2.4
1921,4,16,8.6,2.95
1921,4,17,9.55,4.75
1921,4,18,9.2,5.75
1921,4,19,9.35,1.7
1921,4,20,10.25,5.45
1921,4,21,10.2,7.45
1921,4,22,10.1,5.1
1921,4,23,10.8,8.15
1921,4,24,10.9,5
1921,4,25,10.6,8.95
1921,4,26,11.5,9.45
1921,4,27,14,9.7
1921,4,28,15.2,11.1
1921,4,29,15.05,7.45
1921,4,30,17.25,8.25
1921,5,1,15.95,7.5
1921,5,2,13.5,9.15
1921,5,3,10.9,5.25
1921,5,4,10,5.3
1921,5,5,10.15,4.75
1921,5,6,12.75,10.85
1921,5,7,13.4,9.15
1921,5,8,12.4,8.85
1921,5,9,11.3,8.25
1921,5,10,11.75,8.1
1921,5,11,12.75,10.7
1921,5,12,12.3,9.1
1921,5,13,12.7,8.6
