,xnew,ynew
0,48.97000000000003,368.02248790241714
1,1048.97,276.625397260274
2,2048.9700000000003,276.8714761904762
3,3048.9700000000003,275.12880132450334
4,4048.9700000000003,271.65854255319147
5,5048.97,269.2920307692308
6,6048.97,263.98859440559437
7,7048.97,262.7892988505747
8,8048.97,260.22026315789475
9,9048.97,264.8765192307692
10,10048.97,265.2678918918919
11,11048.97,264.11971604938276
12,12048.97,246.41066129032257
13,13048.97,237.32825675675676
14,14048.97,239.0710366197183
15,15048.97,224.8616475409836
16,16048.97,211.81120320855618
17,17048.97,194.77402074688794
18,18048.97,189.16159649122804
19,19048.97,188.32626291079814
20,20048.97,188.32524999999998
21,21048.97,186.5943422053232
22,22048.97,184.93316149068323
23,23048.97,189.29243069150615
24,24048.97,190.05024565835174
25,25048.97,190.80806062519733
26,26048.97,191.56587559204294
27,27048.97,190.63538383838383
28,28048.97,189.62528282828282
29,29048.97,188.6151818181818
30,30048.97,191.4624911180773
31,31048.97,194.23236961314893
32,32048.97,196.95836680697533
33,33048.97,199.68436400080176
34,34048.97,202.4103611946282
35,35048.97,205.13635838845462
36,36048.97,206.75080666125103
37,37048.97,208.2942672623883
38,38048.97,209.1
39,39048.97,209.1
40,40048.97,209.1
41,41048.97,209.1
42,42048.97,209.1
43,43048.97,209.1
44,44048.97,206.78258446298227
45,45048.97,201.62095776850884
46,46048.97,196.45933107403545
47,47048.97,191.29770437956205
48,48048.97,188.9365790513834
49,49048.97,190.86513038277516
50,50048.97,211.5904748201439
51,51048.97,211.49113379872017
52,52048.97,196.77327457824316
53,53048.97,194.17096493837656
54,54048.97,200.82204866128347
55,55048.97,207.4731323841904
56,56048.97,214.1242161070973
57,57048.97,220.77529983000426
58,58048.97,209.55249000384467
59,59048.97,206.64976028450596
60,60048.97,203.74703056516725
61,61048.97,200.84430084582854
62,62048.97,197.9415711264898
63,63048.97,195.13130625000002
64,64048.97,193.25630625
65,65048.97,191.434895
66,66048.97,194.96321487279846
67,67048.97,201.30372367906068
68,68048.97,207.6442324853229
69,69048.97,213.98474129158515
70,70048.97,220.32525009784737
71,71048.97,226.66575890410962
72,72048.97,228.04377685950413
73,73048.97,228.87022314049585
74,74048.97,226.89157787407595
75,75048.97,223.8326943665562
