,xnew,ynew
0,48.97000000000003,368.02248790241714
1,148.97000000000003,294.99768362235244
2,248.97000000000003,279.8974427480916
3,348.97,275.6989694656488
4,448.97,278.6238275862069
5,548.97,279.56822222222223
6,648.97,280.63916216216217
7,748.97,281.97581415929204
8,848.97,280.2288170731708
9,948.97,278.787406504065
10,1048.97,276.625397260274
11,1148.97,278.8493181818182
12,1248.97,277.7606666666667
13,1348.97,278.5225555555555
14,1448.97,277.41144444444444
15,1548.97,279.12957281553395
16,1648.97,279.97551515151514
17,1748.97,278.8769052631579
18,1848.97,278.5584936708861
19,1948.97,277.6582605042017
20,2048.9700000000003,276.8714761904762
21,2148.9700000000003,276.712746031746
22,2248.9700000000003,276.92467857142856
23,2348.9700000000003,277.6909098360656
24,2448.9700000000003,277.2951515151515
25,2548.9700000000003,274.6752427184466
26,2648.9700000000003,278.2133529411764
27,2748.9700000000003,275.08240322580644
28,2848.9700000000003,275.13015384615386
29,2948.9700000000003,275.53907291666667
30,3048.9700000000003,275.12880132450334
31,3148.9700000000003,276.25462913907285
32,3248.9700000000003,273.3997272727273
33,3348.9700000000003,274.2807438016529
34,3448.9700000000003,274.8226324786325
35,3548.9700000000003,273.4551111111111
36,3648.9700000000003,272.60651515151517
37,3748.9700000000003,272.56245454545456
38,3848.9700000000003,275.19731884057967
39,3948.9700000000003,273.3274666666666
40,4048.9700000000003,271.65854255319147
41,4148.97,272.1865652173913
42,4248.97,271.7406
43,4348.97,271.2841226993865
44,4448.97,270.1012
45,4548.97,269.59508490566037
46,4648.97,271.06074193548386
47,4748.97,271.0324923076923
48,4848.97,269.67844444444444
49,4948.97,268.7622314814815
50,5048.97,269.2920307692308
51,5148.97,268.70073333333335
52,5248.97,265.6843787878788
53,5348.97,265.22195614035087
54,5448.97,267.07425
55,5548.97,266.33349999999996
56,5648.97,265.5606046511628
57,5748.97,261.10572631578947
58,5848.97,266.4153669064748
59,5948.97,265.55205755395684
60,6048.97,263.98859440559437
61,6148.97,262.5374456521739
62,6248.97,261.18638636363636
63,6348.97,261.1106287878788
64,6448.97,259.493967032967
65,6548.97,262.2078918918919
66,6648.97,262.6353333333333
67,6748.97,257.93348958333337
68,6848.97,258.95247200000006
69,6948.97,262.37455339805825
70,7048.97,262.7892988505747
71,7148.97,260.1258214285714
72,7248.97,258.91515573770494
73,7348.97,260.1522209302326
74,7448.97,260.1819462365591
75,7548.97,259.50867021276594
76,7648.97,260.00906024096383
77,7748.97,260.0993663366337
78,7848.97,259.40676666666667
79,7948.97,258.5845263157895
80,8048.97,260.22026315789475
81,8148.97,260.71029999999996
82,8248.97,261.5310458015267
83,8348.97,259.89684
84,8448.97,260.2183301886792
85,8548.97,260.5557222222222
86,8648.97,259.6238529411765
87,8748.97,261.85295945945944
88,8848.97,263.24541221374045
89,8948.97,263.7764352941177
90,9048.97,264.8765192307692
91,9148.97,262.26334453781516
92,9248.97,261.10474999999997
93,9348.97,263.1597176470588
94,9448.97,263.8875890410959
95,9548.97,264.1615616438356
96,9648.97,264.35747540983607
97,9748.97,264.1161774193548
98,9848.97,263.8048604651163
99,9948.97,264.34638235294113
100,10048.97,265.2678918918919
101,10148.97,266.53354285714283
102,10248.97,267.1976694214876
103,10348.97,266.4767882352941
104,10448.97,265.59778048780487
105,10548.97,265.8265909090909
106,10648.97,266.94557446808517
107,10748.97,264.8
108,10848.97,264.8162950819672
109,10948.97,265.0092205882353
110,11048.97,264.11971604938276
111,11148.97,264.34371232876714
112,11248.97,263.80046153846155
113,11348.97,263.22361904761914
114,11448.97,259.7030000000001
115,11548.97,253.860696969697
116,11648.97,251.56660360360362
117,11748.97,250.17702439024387
118,11848.97,249.41045652173915
119,11948.97,245.3
120,12048.97,246.41066129032257
121,12148.97,243.23806521739132
122,12248.97,239.9967228915663
123,12348.97,238.8722248995984
124,12448.97,237.74772690763052
125,12548.97,237.562376
126,12648.97,236.36645205479454
127,12748.97,234.44217796610167
128,12848.97,237.91675423728813
129,12948.97,237.81115384615387
130,13048.97,237.32825675675676
131,13148.97,237.73366216216218
132,13248.97,237.78284105960265
133,13348.97,237.55193969849245
134,13448.97,236.94892462311557
135,13548.97,236.64623529411764
136,13648.97,239.16232432432432
137,13748.97,238.62178378378377
138,13848.97,238.6
139,13948.97,238.75614583333333
140,14048.97,239.0710366197183
141,14148.97,236.08512112676058
142,14248.97,233.09920563380282
143,14348.97,230.1132901408451
144,14448.97,228.4813886639676
145,14548.97,228.4409028340081
146,14648.97,228.4004170040486
147,14748.97,227.09925142857145
148,14848.97,225.96925454545453
149,14948.97,225.4238
150,15048.97,224.8616475409836
151,15148.97,224.08178733031676
152,15248.97,222.95056561085974
153,15348.97,221.9220975609756
154,15448.97,221.43429268292684
155,15548.97,220.9916893939394
156,15648.97,220.91593181818183
157,15748.97,220.2113081395349
158,15848.97,219.13862500000002
159,15948.97,215.38862500000002
160,16048.97,211.81120320855618
161,16148.97,208.33526737967918
162,16248.97,207.5812513368984
